Species;Longitude;Latitude;Temp;Prec;Prec_qs;Prec_qh;elevacion
Leucostethus fraterdanieli;-75,8531;4,8668;223;1756;678;299;999
Leucostethus fraterdanieli;-75,8348;4,6978;217;1870;647;316;1162
Leucostethus fraterdanieli;-75,5791;4,7352;177;2079;801;313;1918
Leucostethus fraterdanieli;-75,832;4,6083;217;1762;652;271;1155
Leucostethus fraterdanieli;-75,4441;5,1852;159;2292;991;342;2213
Leucostethus fraterdanieli;-75,6869;5,2415;233;1852;677;287;838
Leucostethus fraterdanieli;-75,6864;5,2415;233;1852;677;287;838
Leucostethus fraterdanieli;-75,5693;5,2492;200;2260;889;372;1460
Leucostethus fraterdanieli;-75,4948;5,2278;156;2852;1047;454;2306
Leucostethus fraterdanieli;-75,9576;5,1396;192;2371;842;392;1494
Leucostethus fraterdanieli;-75,5174;5,0689;164;2639;960;455;2126
Leucostethus fraterdanieli;-75,6955;5,0457;212;2336;820;398;1237
Leucostethus fraterdanieli;-76,1941;3,743;186;1538;629;178;1648
Leucostethus fraterdanieli;-75,4155;5,3701;125;3064;1162;445;2883
Leucostethus fraterdanieli;-75,6214;4,8681;189;2060;730;348;1673
Leucostethus fraterdanieli;-75,5241;5,1753;184;2112;857;340;1750
Leucostethus fraterdanieli;-75;5,75;215;2987;1030;476;1184
Leucostethus fraterdanieli;-75,5929;5,2894;215;2159;894;333;1184
Leucostethus fraterdanieli;-75,3134;5,2185;108;2380;765;397;3129
Leucostethus fraterdanieli;-75,1083;4,8356;177;2276;838;370;1968
Leucostethus fraterdanieli;-75,5833;6,25;195;1258;451;149;1475
Leucostethus fraterdanieli;-75,6079;4,5134;176;1792;766;251;1941
Leucostethus fraterdanieli;-75,6084;4,5066;171;1772;753;248;2006
Leucostethus fraterdanieli;-75,6632;4,553;198;1967;802;278;1493
Leucostethus fraterdanieli;-75,6241;4,5491;174;1966;856;267;2015
Leucostethus fraterdanieli;-75,5542;4,6897;158;2198;930;309;2260
Leucostethus fraterdanieli;-75,8703;4,5853;221;1772;664;293;1057
Leucostethus fraterdanieli;-75,7027;4,5394;206;1932;799;266;1378
Leucostethus fraterdanieli;-75,8681;4,5864;221;1772;664;293;1057
Leucostethus fraterdanieli;-75,6435;4,7074;183;2144;862;310;1844
Leucostethus fraterdanieli;-75,7501;4,5666;210;2147;781;322;1300
Leucostethus fraterdanieli;-75,7847;4,5126;212;2263;812;364;1257
Leucostethus fraterdanieli;-75,7915;4,4536;216;1926;700;275;1194
Leucostethus fraterdanieli;-75,7667;4,3333;215;1630;672;216;1215
Leucostethus fraterdanieli;-75,8508;4,6238;225;1520;546;259;963
Leucostethus fraterdanieli;-75,6572;4,4678;199;1698;723;232;1506
Leucostethus fraterdanieli;-75,6112;4,6785;171;2634;967;404;2024
Leucostethus fraterdanieli;-76,0488;6,3987;124;2249;831;252;2689
Leucostethus fraterdanieli;-75,8882;5,3813;184;2251;872;358;1718
Leucostethus fraterdanieli;-75,6063;4,6792;167;2713;969;424;2103
Leucostethus fraterdanieli;-76,0899;6,5252;127;1756;615;238;2652
Leucostethus fraterdanieli;-75,6225;4,6689;172;2629;963;405;1988
Leucostethus fraterdanieli;-75,6203;4,8647;188;2083;755;345;1694
Leucostethus fraterdanieli;-76,0122;5,2511;187;2508;925;456;1624
Leucostethus fraterdanieli;-75,96;5,7234;186;2492;817;456;1642
Leucostethus fraterdanieli;-75,8884;5,3818;184;2251;872;358;1718
Leucostethus fraterdanieli;-75,9989;5,7674;180;2882;975;527;1702
Leucostethus fraterdanieli;-75,5147;6,8161;121;2894;1135;267;2774
Leucostethus fraterdanieli;-75,1361;6,2998;173;3323;1135;436;1870
Leucostethus fraterdanieli;-76,1383;6,3197;171;1870;629;236;1797
Leucostethus fraterdanieli;-76,0949;5,2419;182;2717;854;524;1539
Leucostethus fraterdanieli;-75,5037;6,947;122;3351;1136;351;2726
Leucostethus fraterdanieli;-76,0512;6,3966;131;2124;824;225;2567
Leucostethus fraterdanieli;-76,066;6,3814;134;2072;845;208;2528
Leucostethus fraterdanieli;-75,5726;4,7233;171;2037;808;299;1997
Leucostethus fraterdanieli;-76,0721;6,367;144;2018;841;198;2336
Leucostethus fraterdanieli;-76,0581;6,4124;110;2255;821;242;2941
Leucostethus fraterdanieli;-76,044;6,1534;151;2693;918;335;2224
Leucostethus fraterdanieli;-76,7251;3,5114;181;2283;871;349;1587
Leucostethus fraterdanieli;-76,4237;3,8552;194;1483;534;254;1441
Leucostethus fraterdanieli;-76,4306;3,8671;192;1546;542;265;1485
Leucostethus fraterdanieli;-76,3916;4,0739;178;1724;629;294;1748
Leucostethus fraterdanieli;-76,6539;3,4284;161;1805;634;272;1999
Leucostethus fraterdanieli;-76,7193;3,4857;163;2669;1017;381;1925
Leucostethus fraterdanieli;-76,721;3,4848;163;2669;1017;381;1925
Leucostethus fraterdanieli;-76,5308;3,3737;221;1330;483;174;972
Leucostethus fraterdanieli;-76,2276;3,2774;219;1425;560;150;1091
Leucostethus fraterdanieli;-76,9109;3,6134;252;3678;1240;616;174
Leucostethus fraterdanieli;-76,4192;3,8602;197;1429;514;244;1389
Leucostethus fraterdanieli;-76,634;3,5632;191;1940;750;277;1447
Leucostethus fraterdanieli;-76,3578;3,8333;225;1094;373;181;936
Leucostethus fraterdanieli;-76,5693;3,373;212;1543;577;219;1140
Leucostethus fraterdanieli;-76,7248;3,5101;181;2283;871;349;1587
Leucostethus fraterdanieli;-76,911;3,6137;252;3678;1240;616;174
Leucostethus fraterdanieli;-76,5997;3,5831;176;2032;774;299;1723
Leucostethus fraterdanieli;-76,0646;3,9874;173;1823;746;233;1955
Leucostethus fraterdanieli;-75,5009;6,8097;121;2967;1123;282;2752
Leucostethus fraterdanieli;-76,5295;3,3729;221;1330;483;174;972
Leucostethus fraterdanieli;-75,1569;6,3079;171;3090;1061;424;1886
Leucostethus fraterdanieli;-75,1407;6,3007;173;3348;1159;437;1864
Leucostethus fraterdanieli;-75,143;6,3021;173;3176;1093;429;1860
Leucostethus fraterdanieli;-75,1469;6,3054;173;3176;1093;429;1860
Leucostethus fraterdanieli;-75,7609;5,7441;151;3066;1022;458;2261
Leucostethus fraterdanieli;-75,1434;6,3028;173;3176;1093;429;1860
Leucostethus fraterdanieli;-75,9126;6,7001;166;2304;859;295;1921
Leucostethus fraterdanieli;-75,3633;6,5469;173;2210;787;218;1843
Leucostethus fraterdanieli;-75,0234;6,3887;205;2774;976;272;1253
Leucostethus fraterdanieli;-75,6712;6,7853;122;2348;803;271;2727
Leucostethus fraterdanieli;-75,8704;6,4234;215;1794;672;224;1083
Leucostethus fraterdanieli;-75,8625;6,561;224;1699;627;177;997
Leucostethus fraterdanieli;-75,8626;6,559;224;1699;627;177;997
Leucostethus fraterdanieli;-75,715;6,4475;230;1366;583;138;831
Leucostethus fraterdanieli;-75,715;6,376;193;1637;695;185;1558
Leucostethus fraterdanieli;-75,129;6,524;181;3079;1170;352;1688
Leucostethus fraterdanieli;-75,141;6,501;167;3380;1221;376;1927
Leucostethus fraterdanieli;-75,5073;6,2555;141;2298;857;267;2455
Leucostethus fraterdanieli;-75,5157;6,2895;140;2365;852;286;2474
Leucostethus fraterdanieli;-75,1076;6,8725;173;3870;1489;341;1782
Leucostethus fraterdanieli;-75,5814;4,7311;179;1974;755;296;1869
Leucostethus fraterdanieli;-75,4181;6,357;155;2261;913;289;2275
