Voucher/obs,Especie,Pais,Estado,Municipio/localidad,Latitud,Longitud,Elevación (m s. n. m.),Fuente,
OBS.109305550,Rhadinaea decorata,Costa Rica,Sarapique,,17.525,-91.991667,833,Gbif,
OBS.126053531,Rhadinaea decorata,Costa Rica,Sarapique,,17.483333,-92.045833,942,Gbif,
AMNH 19783,Rhadinaea decorata,Mexico,Oaxaca,Pluma Hidalgo,18.88398358,-96.78337916,1110,Gbif,
AMNH 66465,Rhadinaea decorata,Mexico,Chiapas,Chilon,17.458333,-95.775,400,Gbif,
AMNH 68031,Rhadinaea decorata,Mexico,Oaxaca,Santo Domingo,18.86731764,-97.03338503,31,Gbif,
CAS 74328,Rhadinaea decorata,Mexico,Oaxaca,Cosolapa,17.756201,-94.758499,1129,Gbif,
CAS 74328,Rhadinaea decorata,Mexico,Oaxaca,Cosolapa,18.85037346,-97.02727383,1151,Gbif,
CAS 74329,Rhadinaea decorata,Mexico,Oaxaca,Cosolapa,18.48400433,-95.06667415,1107,Gbif,
CAS 74347,Rhadinaea decorata,Mexico,Oaxaca,Cosolapa,19.40395863,-96.9717193,511,Gbif,
CBUCES-D 181,Rhadinaea decorata,Colombia,Antioquia,Maceo,6.533208,-74.812298,1015,Vazques-Restrepo y Toro Cardona 2019,
EB-BUAP 1577,Rhadinaea decorata,Mexico,Puebla,Cuetzalan del Progreso,18.562778,-95.194167,81,Gbif,
EB-BUAP 1578,Rhadinaea decorata,Mexico,Puebla,Cuetzalan del Progreso,18.875,-97.075,1291,Gbif,
EB-BUAP 1579,Rhadinaea decorata,Mexico,Puebla,Cuetzalan del Progreso,18.941667,-97.041667,1523,Gbif,
EB-BUAP 1580,Rhadinaea decorata,Mexico,Puebla,Cuetzalan del Progreso,18.775,-96.875,413,Gbif,
EB-BUAP 1581,Rhadinaea decorata,Mexico,Puebla,Cuetzalan del Progreso,18.558333,-95.325,577,Gbif,
ECO-SCH-0860,Rhadinaea decorata,Mexico,Quintana roo,Felipe Carrillo Puerto,18.375,-94.975,337,Gbif,
ECO-SCH-0861,Rhadinaea decorata,Mexico,Quintana roo,Felipe Carrillo Puerto,18.436667,-95.023333,698,Gbif,
ECO-SCH-1770,Rhadinaea decorata,Mexico,Quintana roo,Lazaro Cardenas,18.45066942,-97.36672859,413,Gbif,
ECO-SCH-0007,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.066667,-94.575833,315,Gbif,
ECO-SCH-0008,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.103611,-94.1225,375,Gbif,
ECO-SCH-0322,Rhadinaea decorata,Mexico,Chiapas,San Cristobal de las Casas,17.049167,-94.6625,1050,Gbif,
ECO-SCH-1180,Rhadinaea decorata,Mexico,Chiapas,Tuxtla,17.058333,-94.660278,270,Gbif,
ECO-SCH-1691,Rhadinaea decorata,Mexico,Chiapas,LA TRINITARIA,17.458333,-95.791667,750,Gbif,
ECO-SCH-3355,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.065,-94.051667,465.5,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.875,-97.041667,50,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,19.508333,-96.791667,1223,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,19.636667,-97.1,1120,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.773889,-96.875,921,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.584167,-95.074722,2437,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.508333,-95.105833,569,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.583889,-95.086111,131,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.26,-94.691667,794,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.592778,-95.083889,209,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.530556,-95.855556,199,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.583333,-95.086944,178,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.584167,-95.092222,4,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.585,-95.088056,263,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Oaxaca,Santa Maria Chimalpa,18.377472,-94.912833,223,Gbif,
FC-UNAM 12215,Rhadinaea decorata,Mexico,Chiapas,Onconsigo,17.058333,-94.613333,75,Gbif,
FC-UNAM 2241,Rhadinaea decorata,Mexico,Oaxaca,Sierra de Juarez,18.708333,-96.875,334,Gbif,
FC-UNAM 2252,Rhadinaea decorata,Mexico,Oaxaca,Sierra de Juarez,18.575,-95.125,19,Gbif,
FC-UNAM 26638,Rhadinaea decorata,Mexico,Chiapas,Tonala,17.071667,-94.6,7.5,Gbif,
FC-UNAM 394,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.125,-94.585,450,Gbif,
FC-UNAM 394,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.208333,-95.025,0,Gbif,
FC-UNAM 4519,Rhadinaea decorata,Mexico,Oaxaca,Santiago Colmatepec,17.189667,-94.474555,0,Gbif,
FC-UNAM 5607,Rhadinaea decorata,Mexico,Oaxaca,San Juan,18.158333,-95.808333,692,Gbif,
FC-UNAM 5608,Rhadinaea decorata,Mexico,Oaxaca,San Juan,19.826799,-96.431702,535,Gbif,
FC-UNAM,Rhadinaea decorata,Mexico,Chiapas,Onconsigo,17.075,-94.518333,60,Gbif,
IBUNAM 7029,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,16.55632473,-94.60304354,250,Gbif,
ICN-R 10861,Rhadinaea decorata,Colombia,Antioquia,San Carlos,6.1772,-74.8621,970,Vazques-Restrepo y Toro Cardona 2019,
IHNE 123,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,16.94074422,-96.69003792,150,Gbif,
IHNE 1337,Rhadinaea decorata,Mexico,Chiapas,Juquipilas,17.925,-97.725,300,Gbif,
IHNE 1344,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,16.43077375,-95.0399975,310,Gbif,
IHNE 1356,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.18073708,-95.02999943,310,Gbif,
IHNE 1637,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.108333,-96.725,475,Gbif,
IHNE 2584,Rhadinaea decorata,Mexico,Chiapas,Escuintla,17.241667,-95.075,850,Gbif,
IHNE 454,Rhadinaea decorata,Mexico,Chiapas,Cintalapa,16.48077131,-95.02999741,300,Gbif,
IHNE 460,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.280732,-95.11000161,350,Gbif,
IHNE 470,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,17.14073894,-95.06000002,350,Gbif,
IHNE 831,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,16.591667,-94.775,310,Gbif,
iNaturalist 10250808,Rhadinaea decorata,Costa Rica,Heredia,,9.55,-82.8833,15,Gbif,
iNaturalist 1028355,Rhadinaea decorata,Costa Rica,Limon Province,,0.1167,-79.2667,183,Gbif,
iNaturalist 125338,Rhadinaea decorata,Costa Rica,Heredia,,10.09094888,-83.3967788,3,Gbif,
